"sepal.length","sepal.width","petal.length","petal.width","sepal.length.norm","sepal.width.norm","petal.length.norm","petal.width.norm","class"
5.4,3.9,1.7,0.4,0.323529411764706,0.772727272727273,0.107142857142857,0.125,"setosa"
5.3,3.7,1.5,0.2,0.294117647058823,0.681818181818182,0.0714285714285714,0.0416666666666667,"setosa"
7.2,3.2,6,1.8,0.852941176470588,0.454545454545455,0.875,0.708333333333333,"virginica"
5.2,3.4,1.4,0.2,0.264705882352941,0.545454545454545,0.0535714285714285,0.0416666666666667,"setosa"
5,3.5,1.3,0.3,0.205882352941176,0.590909090909091,0.0357142857142857,0.0833333333333333,"setosa"
5.1,3.8,1.9,0.4,0.235294117647059,0.727272727272727,0.142857142857143,0.125,"setosa"
6.3,2.5,5,1.9,0.588235294117647,0.136363636363636,0.696428571428572,0.75,"virginica"
6.3,3.3,6,2.5,0.588235294117647,0.5,0.875,1,"virginica"
6,2.2,4,1,0.5,0,0.517857142857143,0.375,"versicolor"
4.7,3.2,1.3,0.2,0.11764705882353,0.454545454545455,0.0357142857142857,0.0416666666666667,"setosa"
4.9,2.4,3.3,1,0.176470588235294,0.0909090909090908,0.392857142857143,0.375,"versicolor"
6.4,2.8,5.6,2.2,0.61764705882353,0.272727272727273,0.803571428571429,0.875,"virginica"
6.7,3.3,5.7,2.1,0.705882352941177,0.5,0.821428571428571,0.833333333333333,"virginica"
6.1,2.6,5.6,1.4,0.529411764705882,0.181818181818182,0.803571428571429,0.541666666666667,"virginica"
7.3,2.9,6.3,1.8,0.88235294117647,0.318181818181818,0.928571428571428,0.708333333333333,"virginica"
6.5,3,5.5,1.8,0.647058823529412,0.363636363636364,0.785714285714286,0.708333333333333,"virginica"
6.7,3.1,4.7,1.5,0.705882352941177,0.409090909090909,0.642857142857143,0.583333333333333,"versicolor"
